name,type,accuracy
a,device,0.6833333373069763
b,device,0.5884498357772827
c,device,0.6389057636260986
s1,device,0.5724242329597473
s2,device,0.5357576012611389
s3,device,0.6063636541366577
s4,device,0.5754545331001282
s5,device,0.5657575726509094
s6,device,0.524848461151123
airport,label,0.520608127117157
bus,label,0.683501660823822
metro,label,0.5515151619911194
metro_station,label,0.5188552141189575
park,label,0.803367018699646
public_square,label,0.4572390615940094
shopping_mall,label,0.6703703999519348
street_pedestrian,label,0.3380471467971802
street_traffic,label,0.7616161704063416
tram,label,0.5736486315727234
